Term,Estimate,SE,p
Remaining eligible countries slope,0.01692912019962027,0.011666359680980417,0.1467504494164236
Selected-15 incremental slope,0.04577382081930052,0.025595274431231666,0.07371633381074788
Selected-15 total slope,0.0627029410189208,0.023198179873933723,0.006873224707973466
