Country,N,RMSE_base,RMSE_plus_NBERI,RMSE_improvement_pct,QLIKE_base,QLIKE_plus_NBERI,QLIKE_improvement_pct
Ghana,36,2.5426614598071358,2.459876609368961,3.255834555515467,23.859385892509362,15.27462521026808,35.98064393156263
Morocco,36,1.7627042916978457,1.721562952063054,2.33398987161733,3.3923600805208234,2.631760261778855,22.420963597272223
Burundi,30,1.9176643908150774,1.9125697488839979,0.2656691105847853,163.84962916612105,130.07284849149372,20.61449931045148
Malawi,21,2.922308984673853,2.9529023577609874,-1.0468904297109778,22.807755270963483,19.500882675733482,14.498895467542898
Tanzania,28,2.602117163231794,2.458465051124606,5.5205858574321205,33.94064784802528,29.235972771901512,13.861476944075163
Zambia,36,1.9096105090196889,1.9020260381009546,0.39717371070752033,3.0911717434521555,2.732522955369779,11.602357223990568
Libya,35,1.7419945754701602,1.7519307681723528,-0.5703917131608081,11.2353415676812,10.478022749691775,6.740505514917995
Congo DRC,20,2.6364428625379692,2.6191185319312478,0.6571100346185466,25.168567955103956,24.24867004463661,3.6549473617580133
Benin,36,1.7502384678091767,1.7346811015283472,0.8888712348039685,2.3375011296415473,2.2719997698607153,2.802195855660467
Algeria,36,1.8425787568672356,1.8349173632431879,0.4157973489867901,3.4323206827560386,3.3605230245723456,2.0918109005491257
Namibia,36,2.1522719734685722,2.153483046306993,-0.05626950744839895,1.7967291452698622,1.8602601722206675,-3.5359267766129125
Liberia,32,1.8758379452299077,1.8727191712134639,0.16626031179156772,2.7576898152102283,2.9133737299816174,-5.6454469212854805
Nigeria,36,3.6610017043843515,3.6661087492649442,-0.13949856604755642,437.09680891072344,462.2682933385747,-5.758789337899864
Tunisia,34,1.7282990206800317,1.7292014518721919,-0.05221499181345827,1.5679991815334589,1.660579137259117,-5.904336993028119
