Metric,Value,Improvement_pct,p_value
RMSE benchmark,2.253946505461644,,
RMSE + NBERI,2.2339413155981935,0.8875627622472427,
QLIKE benchmark,54.16633236438894,,
QLIKE + NBERI,52.62412063292444,2.847177691651161,
Clark-West mean,0.12338330305904341,,0.0005211632331149578
QLIKE loss difference mean,1.5892998858462712,,0.12252832177630152
