Specification,Coefficient,DK_SE,p_value,N
Absolute-return outcome,0.0656487227846363,0.02880979879709828,0.022685246956938278,1839
First-difference NBERI,-0.02539328914089693,0.030547746496644206,0.40582363431795,1839
