Specification,Regressor,Coefficient,DK_SE,p_value,N
Baseline,L_nberi_z,0.08413551580111264,0.02763256485980706,0.0023283838427871286,1854
Baseline,L_vol_z,0.3090777080097586,0.03679665613818158,4.479486605943166e-17,1854
Baseline,L_ret_z,0.054569423263147294,0.03724807108754639,0.14291359965156494,1854
Baseline + inflation,L_nberi_z,0.06796375696073591,0.027379470725736012,0.01305413810864447,1839
Baseline + inflation,L_vol_z,0.2914988569396843,0.03444052122577939,2.5872786146915708e-17,1839
Baseline + inflation,L_ret_z,0.0704204401274115,0.03827023170221646,0.06575590939474191,1839
Baseline + inflation,L_infl_z,0.05532712782212745,0.03011944309953476,0.06622111607981356,1839
