Statistic,Observed,Random_mean,Random_sd,Empirical_one_sided_p,Percentile
Selected-15 incremental slope,0.044419236845485884,-0.0008913634761358947,0.029895413921373088,0.059940059940059943,94.1
Selected-15 total slope,0.06101507350073303,0.028142025902940848,0.021089865379507855,0.056943056943056944,94.39999999999999
