Term,Estimate,SE,p
Remaining eligible h=1 slope,0.0286516390791472,0.01337129916640421,0.032131449011333524
Selected-15 incremental h=1,0.07173138849183766,0.030458351078191878,0.01851947914984418
Selected-15 total h=1,0.10038302757098486,0.025460057603089597,8.054752481298235e-05
