Equation,Lagged_regressor,Coefficient,DK_SE,p_value,Max_companion_root
nberi_z,L_nberi_z,0.45214478064280417,0.02962142763850934,1.3262149115659678e-52,0.48257443543642914
nberi_z,L_ret_z,0.03433441023186704,0.0274039690086726,0.21024240126040172,0.48257443543642914
nberi_z,L_vol_z,0.057005121477840676,0.029570525310396802,0.05388395162347778,0.48257443543642914
nberi_z,L_infl_z,0.11002291904092497,0.02840333200024883,0.00010724290450900875,0.48257443543642914
ret_z,L_nberi_z,0.023226863679596914,0.02865129532908353,0.41755283825137135,0.48257443543642914
ret_z,L_ret_z,0.2716869288831532,0.04323833237323196,3.310900172356916e-10,0.48257443543642914
ret_z,L_vol_z,0.036529573135131346,0.04008659894358268,0.3621549936751859,0.48257443543642914
ret_z,L_infl_z,0.0004062635762767802,0.028944421845600338,0.9888012690764981,0.48257443543642914
vol_z,L_nberi_z,0.06796375696073488,0.027379470725735915,0.013054138108645504,0.48257443543642914
vol_z,L_ret_z,0.07042044012741076,0.03827023170221633,0.0657559093947438,0.48257443543642914
vol_z,L_vol_z,0.29149885693968236,0.034440521225779314,2.5872786146924287e-17,0.48257443543642914
vol_z,L_infl_z,0.0553271278221304,0.030119443099534914,0.06622111607980048,0.48257443543642914
