Country,N,Raw_Pearson_level,Spearman_level,Linear_detrended_loglevel_corr,Cubic_detrended_loglevel_corr
Zambia,132,0.7180430845847727,0.7865438223402931,0.10292184417503582,0.037860342023964336
Ghana,132,0.6680505538259984,0.5142888449437263,0.40554463836438587,0.02105461648841496
Malawi,117,0.6490955035331522,0.4669322948058949,0.35779201476358474,0.22463470910502728
Tanzania,124,0.5605227508924402,0.6414374185361857,-0.07163621177878225,0.002286866461642314
Algeria,132,0.5488360166958196,0.5622974855598398,0.5420752125733193,0.4766961680751782
Burundi,126,0.4798550989565759,0.37643791257240716,0.24077321247259692,-0.002876855491350961
Libya,131,0.41476401240939054,0.41095714909174086,0.35124466963755024,0.2677151328374509
Nigeria,132,0.32211794313091013,0.1497988707621508,0.43864968221520995,0.33760518784542304
Tunisia,130,0.29615177596169784,0.33635581531906755,0.2225232965350398,0.13975660588173283
Morocco,132,0.28523552141200464,0.2373299661367158,0.3273625279083864,0.2825074084385477
Liberia,128,0.2789535120673334,0.31563305338583847,0.572756130031926,0.2549487638266166
Namibia,132,0.2684882403507567,0.2867369673315836,0.4338519188915047,0.4432536871488394
Congo DRC,129,0.2661683212538426,0.3433172284736533,0.3193846920543343,0.25813085884340753
Guinea,77,0.2627060052208771,0.3822124677272767,-0.06150255724146489,-0.17961666031737322
Benin,132,0.2472970106875652,0.3250570074036661,0.25586586481719387,0.28937713458710285
