Country_Key,Relative_RMSFE,N
algeria,1.021128718442525,72.0
angola,0.9518365374729736,72.0
benin,0.8940161343844094,72.0
botswana,0.9875407657967498,72.0
burkinafaso,1.0646039270880154,72.0
burundi,1.094884990933993,72.0
cameroon,0.9028198688928982,72.0
capeverde,1.0119712698114502,72.0
centralafricanrepublic,1.0749022422913856,72.0
chad,0.9712480488851869,72.0
comoros,1.006013393906953,72.0
congo,0.9229446015318695,72.0
congodrc,0.9702789738648044,72.0
djibouti,1.1347685978268909,72.0
egypt,1.096804100755755,72.0
equatorialguinea,1.001052028079095,72.0
eritrea,0.9353791456811685,72.0
eswatini,1.0156547694699738,72.0
ethiopia,0.9953793093161215,72.0
gabon,0.9940470572229076,72.0
gambia,0.9907216169960639,72.0
ghana,1.07257468230384,72.0
guinea,1.0231665228832705,72.0
guineabissau,0.9970712226966727,71.0
ivorycoast,1.017398174954284,72.0
kenya,0.9187224819342789,72.0
lesotho,1.1125176512868435,72.0
liberia,0.9879110394438732,72.0
libya,1.0116020143991165,72.0
madagascar,0.8164731058744421,72.0
malawi,0.9754098365696777,72.0
mali,0.9323438398911752,72.0
mauritania,0.9914878339572625,72.0
mauritius,0.9368663524643256,72.0
morocco,1.127463337764927,72.0
mozambique,0.9100007018113736,72.0
namibia,1.0759019658404534,72.0
niger,0.9896988934306363,72.0
nigeria,0.9452505047406875,72.0
rwanda,0.9845908877464176,72.0
saotomeandprincipe,1.0251500800634188,72.0
senegal,1.0604360007970675,72.0
seychelles,1.0041572383606368,72.0
sierraleone,0.8932792732777131,72.0
somalia,1.0423160186786526,72.0
southafrica,0.9321395979741222,72.0
southsudan,0.9976058267984097,72.0
sudan,0.9850326127982222,72.0
tanzania,0.9521312281366704,72.0
togo,0.9663302923605527,72.0
tunisia,0.9961943235734888,72.0
uganda,0.9797652408778988,72.0
zambia,0.9837854310367127,72.0
zimbabwe,0.9776601021943668,72.0
