Signal,Horizon,N,TargetMonths,Benchmark_RMSFE,GRE_RMSFE,Relative_RMSFE,Benchmark_MAE,GRE_MAE,Relative_MAE,CW_HAC_p,CW_2Way_p,CW_HAC_t,CW_2Way_t
zgre,1,3887,72,8.374680572246218,8.34438205050096,0.9963821280723627,5.440911870652482,5.384883494770506,0.9897023923169597,0.0005866904771728576,0.05277616344290115,3.3820554584437303,1.6466271455232433
z_AERI,1,3887,72,8.374680572246218,8.3944760482356,1.002363729078215,5.440911870652482,5.451987149898962,1.00203555571378,0.0003154393460819138,0.2380392763288106,3.5769696037542427,0.7177251168054783
z_InflationRisk,1,3887,72,8.374680572246218,8.503214596773566,1.0153479315919596,5.440911870652482,5.563142744070382,1.0224651448734534,0.9996706861509995,0.9921491542047502,-3.5636520862972,-2.496119735085338
z_FXExternalRisk,1,3887,72,8.374680572246218,8.376832581437405,1.000256966122185,5.440911870652482,5.429860651300981,0.9979688663197964,2.8378842942267113e-08,0.20787478839971274,6.069125733974169,0.8202462771452782
