Country,Country_Key,Origin,target_date,y_target,f_AR,f_GRE,Horizon,signal,e0,e1,cw
Algeria,algeria,2019-12-01,2020-01-01,-6.552440957806901,2.9254827423138625,2.8055970072282053,1,zgre,-9.477923700120764,-9.358037965035106,2.2725356997495254
Angola,angola,2019-12-01,2020-01-01,-3.8691583884981458,-1.4988774465287236,-1.5176807795815908,1,zgre,-2.370280941969422,-2.351477608916555,0.08913836396142916
Benin,benin,2019-12-01,2020-01-01,6.242335879821916,3.785968985853099,3.8960095956362895,1,zgre,2.4563668939688172,2.346326284185627,0.5406002217271402
Botswana,botswana,2019-12-01,2020-01-01,-3.9702065138065983,6.060542668743596,5.981777875856492,1,zgre,-10.030749182550196,-9.95198438966309,1.5801397637321202
Burkina-Faso,burkinafaso,2019-12-01,2020-01-01,10.750117027780435,5.639786916888456,5.794100424536066,1,zgre,5.110330110891979,4.956016603244369,1.5771859292978831
Burundi,burundi,2019-12-01,2020-01-01,4.820471933029236,0.5637652955738428,0.47548808934048403,1,zgre,4.256706637455393,4.344983843688752,-0.7515403394191154
Cameroon,cameroon,2019-12-01,2020-01-01,5.585845193471373,2.680905488119947,2.772628007261921,1,zgre,2.904939705351426,2.813217186209452,0.5328967754607516
Cape Verde,capeverde,2019-12-01,2020-01-01,-11.538386751001289,5.281878729477418,5.173375628343268,1,zgre,-16.820265480478707,-16.711762379344556,3.650101933063354
Central African Republic,centralafricanrepublic,2019-12-01,2020-01-01,9.409019024229009,4.149185020034192,4.1821302420839865,1,zgre,5.259834004194817,5.226888782145022,0.34657279842651434
Chad,chad,2019-12-01,2020-01-01,-2.1863090789861888,-3.9262933758579095,-3.941795484132094,1,zgre,1.7399842968717207,1.7554864051459051,-0.05394684993097165
Comoros,comoros,2019-12-01,2020-01-01,1.1178361564063457,4.5067444099609935,4.749769069953395,1,zgre,-3.3889082535546478,-3.631932913547049,-1.647176552131123
Congo,congo,2019-12-01,2020-01-01,-14.904940577518666,-10.292176517977296,-10.294424106606781,1,zgre,-4.6127640595413695,-4.610516470911884,0.020735192101444255
Congo DRC,congodrc,2019-12-01,2020-01-01,7.932104014457239,1.1262866933648183,1.0581037304046115,1,zgre,6.80581732109242,6.874000284052627,-0.9280815806359612
Djibouti,djibouti,2019-12-01,2020-01-01,4.416783323326959,4.538622043614215,4.547079584267418,1,zgre,-0.12183872028725595,-0.13029626094045899,-0.002060911859927402
Egypt,egypt,2019-12-01,2020-01-01,14.764772714664806,2.0698302703955562,1.949109333672029,1,zgre,12.69494244426925,12.815663380992778,-3.0650906870469043
Equatorial Guinea,equatorialguinea,2019-12-01,2020-01-01,-20.979014897998905,-7.369917077262063,-7.377255466303797,1,zgre,-13.609097820736842,-13.601759431695108,0.1997377086312042
Eritrea,eritrea,2019-12-01,2020-01-01,0.3635420993763184,-2.6584023926956846,-2.5528927267361543,1,zgre,3.021944492072003,2.916434826112473,0.6376887078135187
Eswatini,eswatini,2019-12-01,2020-01-01,4.65686174364423,4.139457477475328,4.171658849577681,1,zgre,0.517404266168902,0.48520289406654893,0.0333222546044995
Ethiopia,ethiopia,2019-12-01,2020-01-01,10.160562969598892,7.4820419207736215,6.872340004927896,1,zgre,2.678521048825271,3.2882229646709966,-3.2661988302037406
Gabon,gabon,2019-12-01,2020-01-01,-7.95442521525276,0.8621358684573011,0.905445146877963,1,zgre,-8.816561083710061,-8.859870362130723,-0.7636777973743278
Gambia,gambia,2019-12-01,2020-01-01,6.109221375998082,0.7386926048064382,0.7233574276981481,1,zgre,5.370528771191644,5.385863948299934,-0.16471601974278371
Ghana,ghana,2019-12-01,2020-01-01,4.727380407165831,3.903943391274492,3.9690593709743918,1,zgre,0.8234370158913391,0.7583210361914392,0.10723781602185334
Guinea,guinea,2019-12-01,2020-01-01,9.75143067888598,8.614979153501942,8.605655910962302,1,zgre,1.1364515253840377,1.1457747679236778,-0.02119082641139869
Guinea-Bissau,guineabissau,2019-12-01,2020-01-01,1.9175803540178245,5.552391143703989,5.569815752691367,1,zgre,-3.634810789686165,-3.6522353986735427,-0.12667031350676972
Ivory Coast,ivorycoast,2019-12-01,2020-01-01,6.780494252445929,5.796405788800211,5.981371349827671,1,zgre,0.9840884636457181,0.799122902618258,0.364044949557763
Kenya,kenya,2019-12-01,2020-01-01,4.3722576789731935,3.039809469507773,2.9726046643734323,1,zgre,1.3324482094654204,1.3996530145997612,-0.1790938445374497
Lesotho,lesotho,2019-12-01,2020-01-01,0.8016672881938713,1.103828555894276,1.172895434318895,1,zgre,-0.30216126770040463,-0.37122814612502375,-0.04173867108178528
Liberia,liberia,2019-12-01,2020-01-01,-3.6871656851291936,-0.49168381584365406,-0.5118689169111565,1,zgre,-3.1954818692855396,-3.175296768218037,0.12900224898180035
Libya,libya,2019-12-01,2020-01-01,-35.26061194649752,10.281549062256303,10.404302505803807,1,zgre,-45.54216100875382,-45.664914452301325,-11.180914180838954
Madagascar,madagascar,2019-12-01,2020-01-01,-1.465014988656267,4.2061471281708425,4.25834048555055,1,zgre,-5.67116211682711,-5.723355474206817,-0.5919939822436291
Malawi,malawi,2019-12-01,2020-01-01,7.182717572878265,3.610278146423993,3.720053317552019,1,zgre,3.572439426454272,3.462664255326246,0.7843302987670491
Mali,mali,2019-12-01,2020-01-01,3.0521804195729456,4.849515249612956,5.06561639210785,1,zgre,-1.7973348300400107,-2.013435972534904,-0.7768122204350218
Mauritania,mauritania,2019-12-01,2020-01-01,6.5208648718107085,3.2252266350975596,3.2278442068175686,1,zgre,3.295638236713149,3.29302066499314,0.017253138895600983
Mauritius,mauritius,2019-12-01,2020-01-01,-6.737972822554547,4.255707372748125,4.362348077495735,1,zgre,-10.993680195302673,-11.100320900050281,-2.3447476075938027
Morocco,morocco,2019-12-01,2020-01-01,-1.5712677517705569,4.17523361735853,4.263162011235172,1,zgre,-5.746501369129087,-5.834429763005729,-1.010561271594888
Mozambique,mozambique,2019-12-01,2020-01-01,5.923153640685985,3.1323044172468038,3.278274743321206,1,zgre,2.7908492234391815,2.644878897364779,0.8147623423398196
Namibia,namibia,2019-12-01,2020-01-01,-0.7493321781878051,0.16958668753143336,-0.22411918071737985,1,zgre,-0.9189188657192384,-0.5252129974704252,0.7235674997564148
Niger,niger,2019-12-01,2020-01-01,11.958011315075478,3.97729163019887,4.080291197023618,1,zgre,7.9807196848766075,7.87772011805186,1.6440213409840538
Nigeria,nigeria,2019-12-01,2020-01-01,3.4262271908496205,-0.3766178334453194,-0.2509990744018244,1,zgre,3.80284502429494,3.677226265251445,0.9554173455733181
Rwanda,rwanda,2019-12-01,2020-01-01,1.5064639180650172,3.340546940688224,3.0191140738965423,1,zgre,-1.8340830226232068,-1.512650155831525,1.1790691277914607
Sao Tome and Principe,saotomeandprincipe,2019-12-01,2020-01-01,14.04033663369251,1.6843161728069518,1.2659635392731323,1,zgre,12.356020460885558,12.774373094419378,-10.33834739961847
Senegal,senegal,2019-12-01,2020-01-01,6.338812977514921,5.58546648028225,5.479191074538216,1,zgre,0.7533464972326716,0.8596219029767056,-0.16012440931849792
Seychelles,seychelles,2019-12-01,2020-01-01,-1.5314163049005016,8.679530657915365,8.695400459624922,1,zgre,-10.210946962815866,-10.226816764525424,-0.3240914071333947
Sierra Leone,sierraleone,2019-12-01,2020-01-01,3.0420334992058,3.5699115266879105,3.6236051090068018,1,zgre,-0.5278780274821107,-0.581571609801002,-0.056687324645889325
Somalia,somalia,2019-12-01,2020-01-01,2.094102729368586,6.011848085468404,6.105308878178471,1,zgre,-3.9177453560998186,-4.011206148809885,-0.7323111732345424
South Africa,southafrica,2019-12-01,2020-01-01,-2.792705309086708,2.3057397891815645,2.3096024465257767,1,zgre,-5.0984450982682725,-5.102307755612484,-0.03938709280577157
