Country,Country_Key,Origin,target_date,y_target,f_AR,f_GRE,Horizon,signal,e0,e1,cw
Algeria,algeria,2019-12-01,2020-01-01,-6.552440957806901,2.6402151834676957,2.4203206272176465,1,zgre,-9.192656141274597,-8.972761585024548,4.042830085889719
Angola,angola,2019-12-01,2020-01-01,-3.8691583884981458,-1.9489878499640838,-1.9959736362688745,1,zgre,-1.920170538534062,-1.8731847522292713,0.18044144518463234
Benin,benin,2019-12-01,2020-01-01,6.242335879821916,3.62075033056788,3.817074327458151,1,zgre,2.6215855492540365,2.4252615523637653,1.029360306438659
Botswana,botswana,2019-12-01,2020-01-01,-3.9702065138065983,5.949975268345138,5.811315262334022,1,zgre,-9.920181782151737,-9.78152177614062,2.7510649310890756
Burkina-Faso,burkinafaso,2019-12-01,2020-01-01,10.750117027780435,5.520720821082286,5.801002567415121,1,zgre,5.22939620669815,4.9491144603653145,2.9314086021593226
Burundi,burundi,2019-12-01,2020-01-01,4.820471933029236,0.4168554955506796,0.25211256716851854,1,zgre,4.403616437478556,4.568359365860717,-1.4509293347640693
Cameroon,cameroon,2019-12-01,2020-01-01,5.585845193471373,2.163778499626339,2.321415481735525,1,zgre,3.422066693845034,3.2644297117358483,1.078888532388179
Cape Verde,capeverde,2019-12-01,2020-01-01,-11.538386751001289,5.375629401662965,5.184328627968646,1,zgre,-16.914016152664253,-16.722715378969934,6.471328752565739
Central African Republic,centralafricanrepublic,2019-12-01,2020-01-01,9.409019024229009,3.911529297903158,3.968928406337765,1,zgre,5.497489726325851,5.440090617891244,0.6311020178390336
Chad,chad,2019-12-01,2020-01-01,-2.1863090789861888,-4.581689687014112,-4.628837802618812,1,zgre,2.3953806080279234,2.4425287236326234,-0.22587536364911465
Comoros,comoros,2019-12-01,2020-01-01,1.1178361564063457,4.584914475720007,5.027836631996252,1,zgre,-3.467078319313661,-3.9100004755899067,-3.071291610338056
Congo,congo,2019-12-01,2020-01-01,-14.904940577518666,-12.236128699737407,-12.284713335222765,1,zgre,-2.668811877781259,-2.6202272422959005,0.25932650452199546
Congo DRC,congodrc,2019-12-01,2020-01-01,7.932104014457239,0.8346743915724346,0.7031648083691334,1,zgre,7.097429622884804,7.228939206088105,-1.8667600230406833
Djibouti,djibouti,2019-12-01,2020-01-01,4.416783323326959,4.013594562433958,4.02302351561259,1,zgre,0.40318876089300026,0.39375980771436847,0.007603295897221335
Egypt,egypt,2019-12-01,2020-01-01,14.764772714664806,1.3902129262609293,1.16010838910423,1,zgre,13.374559788403877,13.604664325560575,-6.155093779570535
Equatorial Guinea,equatorialguinea,2019-12-01,2020-01-01,-20.979014897998905,-7.860782799000056,-7.895089987881157,1,zgre,-13.118232098998849,-13.083924910117748,0.9000993328129425
Eritrea,eritrea,2019-12-01,2020-01-01,0.3635420993763184,-4.320729874207615,-4.154115514488882,1,zgre,4.684271973583933,4.5176576138652,1.560933951254185
Eswatini,eswatini,2019-12-01,2020-01-01,4.65686174364423,4.0320379533840605,4.09206741544134,1,zgre,0.6248237902601694,0.5647943282028898,0.07501567201981696
Ethiopia,ethiopia,2019-12-01,2020-01-01,10.160562969598892,7.362418708674433,6.262604703046665,1,zgre,2.7981442609244596,3.8979582665522274,-6.15487649586336
Gabon,gabon,2019-12-01,2020-01-01,-7.95442521525276,0.38558123826933866,0.4547045905525837,1,zgre,-8.340006453522099,-8.409129805805344,-1.1529784082626975
Gambia,gambia,2019-12-01,2020-01-01,6.109221375998082,0.05887642433600604,0.01632266938717357,1,zgre,6.050344951662076,6.092898706610908,-0.5149297928578633
Ghana,ghana,2019-12-01,2020-01-01,4.727380407165831,3.6611429524361085,3.773818480916701,1,zgre,1.0662374547297224,0.9535619262491299,0.2402777373949465
Guinea,guinea,2019-12-01,2020-01-01,9.75143067888598,8.375127951663004,8.361184592941155,1,zgre,1.376302727222976,1.390246085944824,-0.03838056527105538
Guinea-Bissau,guineabissau,2019-12-01,2020-01-01,1.9175803540178245,5.558831534795414,5.594262981688179,1,zgre,-3.6412511807775894,-3.676682627670355,-0.25802959566988193
Ivory Coast,ivorycoast,2019-12-01,2020-01-01,6.780494252445929,5.494763064331963,5.82746911711756,1,zgre,1.2857311881139664,0.9530251353283692,0.8555410970814676
Kenya,kenya,2019-12-01,2020-01-01,4.3722576789731935,2.6392767326246656,2.5116966644954126,1,zgre,1.732980946348528,1.8605610144777809,-0.4421876544036847
Lesotho,lesotho,2019-12-01,2020-01-01,0.8016672881938713,0.8559608447029468,0.9776383535244475,1,zgre,-0.054293556509075414,-0.17597106533057616,-0.013212609402167343
Liberia,liberia,2019-12-01,2020-01-01,-3.6871656851291936,-0.8180096449751488,-0.8655913235221498,1,zgre,-2.869156040154045,-2.821574361607044,0.2730385208075923
Libya,libya,2019-12-01,2020-01-01,-35.26061194649752,11.447354384015568,11.681931948648609,1,zgre,-46.70796633051309,-46.94254389514613,-21.913281981547698
Madagascar,madagascar,2019-12-01,2020-01-01,-1.465014988656267,4.113923441404305,4.208686090774879,1,zgre,-5.578938430060572,-5.673701079431146,-1.0573499726157038
Malawi,malawi,2019-12-01,2020-01-01,7.182717572878265,3.6216123391620023,3.820736860125576,1,zgre,3.5611052337162628,3.3619807127526893,1.4182067475292506
Mali,mali,2019-12-01,2020-01-01,3.0521804195729456,4.59122594033952,4.980300068132337,1,zgre,-1.539045520766574,-1.9281196485593912,-1.197605587251394
Mauritania,mauritania,2019-12-01,2020-01-01,6.5208648718107085,3.2055294496414994,3.2081740941056935,1,zgre,3.315335422169209,3.312690777705015,0.017535766942373243
Mauritius,mauritius,2019-12-01,2020-01-01,-6.737972822554547,4.193636488023319,4.3873554535331944,1,zgre,-10.931609310577866,-11.125328276087743,-4.235320094006582
Morocco,morocco,2019-12-01,2020-01-01,-1.5712677517705569,4.524138956021327,4.689245368664487,1,zgre,-6.095406707791883,-6.260513120435044,-2.012781470249145
Mozambique,mozambique,2019-12-01,2020-01-01,5.923153640685985,2.7336803215883876,2.992444503823577,1,zgre,3.1894733190975977,2.9307091368624083,1.6506429103544882
Namibia,namibia,2019-12-01,2020-01-01,-0.7493321781878051,-0.1012222595025527,-0.8195488703473184,1,zgre,-0.6481099186852524,0.07021669215951332,0.931109202688108
Niger,niger,2019-12-01,2020-01-01,11.958011315075478,3.5341720474693332,3.714779445645837,1,zgre,8.423839267606144,8.243231869429641,3.0428153855588107
Nigeria,nigeria,2019-12-01,2020-01-01,3.4262271908496205,-0.6069148140476166,-0.3882462668578558,1,zgre,4.033142004897237,3.8144734577074764,1.763842605641754
Rwanda,rwanda,2019-12-01,2020-01-01,1.5064639180650172,2.7514706789985723,2.162340011020785,1,zgre,-1.2450067609335551,-0.6558760929557679,1.4669433294112932
Sao Tome and Principe,saotomeandprincipe,2019-12-01,2020-01-01,14.04033663369251,0.7829701132946241,0.01137212107770779,1,zgre,13.257366520397886,14.028964512614802,-20.458714778445568
Senegal,senegal,2019-12-01,2020-01-01,6.338812977514921,5.34878242936059,5.15546870839874,1,zgre,0.9900305481543317,1.1833442691161817,-0.38277297825922785
Seychelles,seychelles,2019-12-01,2020-01-01,-1.5314163049005016,8.41154924841755,8.445036662877596,1,zgre,-9.942965553318052,-9.976452967778098,-0.6659284168918305
Sierra Leone,sierraleone,2019-12-01,2020-01-01,3.0420334992058,3.2268556236147887,3.3195652127009714,1,zgre,-0.18482212440898893,-0.2775317134951716,-0.03426956641598539
Somalia,somalia,2019-12-01,2020-01-01,2.094102729368586,6.862667633682463,7.046326100194377,1,zgre,-4.768564904313877,-4.9522233708257914,-1.7515746355776436
South Africa,southafrica,2019-12-01,2020-01-01,-2.792705309086708,2.354060596738594,2.3617462386514867,1,zgre,-5.146765905825302,-5.154451547738194,-0.07911239952331073
South Sudan,southsudan,2019-12-01,2020-01-01,-4.402209638898189,-28.44582204799724,-29.061774658333903,1,zgre,24.04361240909905,24.659565019435714,-29.619451650615133
Sudan,sudan,2019-12-01,2020-01-01,5.4021321174719095,2.7315559067288717,2.876308794343155,1,zgre,2.6705762107430377,2.5258233231287543,0.7731472361981311
Tanzania,tanzania,2019-12-01,2020-01-01,13.428504786114829,5.170289116369219,5.228472528753906,1,zgre,8.25821566974561,8.200032257360924,0.9609823357489802
Togo,togo,2019-12-01,2020-01-01,8.706142275161186,3.781918942840136,3.9592349386111825,1,zgre,4.92422333232105,4.746907336550004,1.7462871271390519
Tunisia,tunisia,2019-12-01,2020-01-01,-0.4643814329351353,0.9240700255426759,0.963797735201624,1,zgre,-1.3884514584778112,-1.4281791681367593,-0.1103199928358991
Uganda,uganda,2019-12-01,2020-01-01,3.752366089342519,0.9526741423312757,0.8821663220458629,1,zgre,2.7996919470112434,2.870199767296656,-0.3948003533087707
Zambia,zambia,2019-12-01,2020-01-01,-4.649854413813965,3.218781634080756,3.3717705421177966,1,zgre,-7.868636047894721,-8.021624955931761,-2.4076280734166176
Zimbabwe,zimbabwe,2019-12-01,2020-01-01,12.36073692121169,4.496470715466537,4.5432751333870875,1,zgre,7.864266205745152,7.817461787824602,0.7361648042643125
Algeria,algeria,2020-01-01,2020-02-01,-8.438210052627147,2.2194417485748232,1.8110625007546748,1,zgre,-10.65765180120197,-10.249272553381822,8.704727652207822
Angola,angola,2020-01-01,2020-02-01,-5.997644230718946,-3.2437965100051684,-3.421324121975359,1,zgre,-2.753847720713778,-2.5763201087435874,0.9777680191757376
Benin,benin,2020-01-01,2020-02-01,5.122772843134787,2.6777320088861103,2.9977745894797168,1,zgre,2.445040834248677,2.1249982536550704,1.5650343564993827
Botswana,botswana,2020-01-01,2020-02-01,-5.214220190901138,6.00074466366638,6.06081385867612,1,zgre,-11.214964854567517,-11.275034049577258,-1.3473478217528054
Burkina-Faso,burkinafaso,2020-01-01,2020-02-01,10.484063680194865,4.897706734793793,5.031467259099672,1,zgre,5.5863569454010715,5.452596421095193,1.4944680679532638
Burundi,burundi,2020-01-01,2020-02-01,4.23810348442856,0.4607017148140198,0.580414892945191,1,zgre,3.7774017696145403,3.6576885914833692,0.9044095418377314
Cameroon,cameroon,2020-01-01,2020-02-01,5.142747811789558,0.24303688064006934,0.6315350991768389,1,zgre,4.899710931149489,4.5112127126127195,3.807057936193427
Cape Verde,capeverde,2020-01-01,2020-02-01,-16.62841958536428,6.0117721649997895,5.668747638420684,1,zgre,-22.64019175036407,-22.297167223784964,15.532282113657743
Central African Republic,centralafricanrepublic,2020-01-01,2020-02-01,8.420849236853488,3.0366838835443843,2.9708205579845295,1,zgre,5.384165353309104,5.450028678868959,-0.7092380710661779
Chad,chad,2020-01-01,2020-02-01,-4.378506373816378,-6.4862003649092514,-6.818599184893698,1,zgre,2.107693991092874,2.440092811077321,-1.401189991055161
Comoros,comoros,2020-01-01,2020-02-01,0.6278115878447644,5.238666125502204,5.414010301939993,1,zgre,-4.610854537657439,-4.786198714095229,-1.6169729831599788
Congo,congo,2020-01-01,2020-02-01,-17.652732859691035,-18.734405121276183,-18.80794164028599,1,zgre,1.0816722615851475,1.155208780594954,-0.15908482565287319
Congo DRC,congodrc,2020-01-01,2020-02-01,7.616067307435233,-0.48622834469572496,-0.49324988611200143,1,zgre,8.102295652130959,8.109317193547234,-0.11378120897668964
Djibouti,djibouti,2020-01-01,2020-02-01,3.943385692765312,1.8395715831522423,1.9552339271669061,1,zgre,2.1038141096130696,1.9881517655984058,0.4866641425779412
Egypt,egypt,2020-01-01,2020-02-01,15.83307335375642,-1.409367970775392,-1.4343541918626834,1,zgre,17.24244132453181,17.267427545619103,-0.861646902038899
Equatorial Guinea,equatorialguinea,2020-01-01,2020-02-01,-22.22403372523388,-8.611926431303367,-8.6050448674847,1,zgre,-13.612107293930514,-13.61898885774918,-0.18734517009940532
Eritrea,eritrea,2020-01-01,2020-02-01,0.3768984389524284,-7.4989453440499005,-7.310632719274377,1,zgre,7.875843783002329,7.687531158226806,2.9662416301983185
Eswatini,eswatini,2020-01-01,2020-02-01,3.2907234288135925,4.5333346589271795,4.463008830377798,1,zgre,-1.242611230113587,-1.1722854015642055,0.17477532864500844
Ethiopia,ethiopia,2020-01-01,2020-02-01,10.112387935317562,5.9737030630149945,5.630815893768969,1,zgre,4.1386848723025675,4.481572041548593,-2.838203880530351
